provider,target,n,pearson_r,pearson_p,spearman_r,spearman_p
anthropic,human_quality,180,-0.25406692964095484,0.0005783565281106782,-0.3311659608063712,5.601461790354797e-06
anthropic,human_risk,180,-0.24305118674273277,0.0010104667712003618,-0.2589461440885141,0.0004481326494719763
deepseek,human_quality,180,-0.3283329083992854,6.803701158030816e-06,-0.3020120426331745,3.783506365532988e-05
deepseek,human_risk,180,-0.2658323804013423,0.0003100148251127685,-0.2607914232844518,0.00040639457962395547
doubao,human_quality,180,-0.29876841070475224,4.6229120857161593e-05,-0.29644311469205453,5.3292376676203586e-05
doubao,human_risk,180,-0.25703715472846517,0.0004954588816285752,-0.24890140289839177,0.0007536427805097892
gemini,human_quality,180,-0.3131430747161678,1.8678247172648397e-05,-0.3044233911634779,3.2548450974205795e-05
gemini,human_risk,180,-0.04199440438847103,0.5756595847818796,0.045703899983749095,0.5423728181230395
glm,human_quality,180,-0.3445672215648814,2.1743228168312725e-06,-0.34669612572217023,1.8631997982539374e-06
glm,human_risk,180,0.11970782143572087,0.10946087272503904,0.13323913534457224,0.07457073383528057
kimi,human_quality,180,-0.3410534746745318,2.7985931643387073e-06,-0.3339926554680603,4.604749623892153e-06
kimi,human_risk,180,0.09542917220079823,0.20255451502447183,0.1346642526960724,0.07149157492998898
mimo,human_quality,180,-0.2945651731673428,5.9724178542912876e-05,-0.3422794751555351,2.5635663368756798e-06
mimo,human_risk,180,0.051140605013357376,0.4953720686426086,0.09586759887262959,0.2004787063496507
openai,human_quality,180,-0.3290704369117888,6.469085679124161e-06,-0.32817492657630215,6.877481186360339e-06
openai,human_risk,180,-0.2521050082553208,0.0006399444057839788,-0.2569579580338738,0.0004975186521748329
qwen,human_quality,180,-0.3461403993040199,1.9400522884370334e-06,-0.34974287553088684,1.4908048610204477e-06
qwen,human_risk,180,-0.27975924553876275,0.00014269809805954401,-0.2717326786312482,0.00022429483081657801
