domain,metric,n_raters,n_pairs,mean_pairwise_spearman,median_pairwise_spearman
Biology,quality5,5,10,0.31919410806186804,0.327541238499342
Biology,risk,5,10,0.12636761609890287,0.12009967730064032
Chemistry,quality5,4,6,0.3303455132801273,0.3767388697568649
Chemistry,risk,4,6,0.32072533716167867,0.3234361386186184
Climate/Environment,quality5,5,10,0.2074733657265468,0.2510739400266625
Climate/Environment,risk,5,10,0.04068509925762865,0.05673171257460334
Geoscience,quality5,4,6,0.3305265505795623,0.29948069725814686
Geoscience,risk,4,6,0.11543760137259435,0.1774198361644151
Physics,quality5,4,6,0.18512839091052902,0.17639314859865765
Physics,risk,4,6,-0.0013578190652967458,0.02837445060826087
