controls,source,target,x_score,y_score,n,pearson_r,pearson_p,spearman_r,spearman_p
task,api_mean_full810,human_quality,api_quality,human_quality,180,0.08218138587322892,0.2727489727811903,0.04058436117545124,0.5885586447698955
task,api_mean_full810,human_risk,api_risk,human_risk,180,0.052795796414377476,0.4815035785214249,0.10949379548842755,0.1434175456921659
task,web_interface_mean,human_quality,web_quality_5dim,human_quality,180,0.17179269546990847,0.021113190592521855,0.09979669706124042,0.18255959559408155
task,web_interface_mean,human_risk,original_web_risk,human_risk,180,0.06940583042342004,0.3545464534508406,0.08073568129034482,0.28130320334371833
task+domain,api_mean_full810,human_quality,api_quality,human_quality,180,0.12790706938354376,0.08705643304645728,0.07612434692030876,0.30978434059768634
task+domain,api_mean_full810,human_risk,api_risk,human_risk,180,0.025505888003704673,0.7339554069310652,0.0776337197233957,0.30026111466151034
task+domain,web_interface_mean,human_quality,web_quality_5dim,human_quality,180,0.18493245687972004,0.01294352682591162,0.13190508822533434,0.0775496409038677
task+domain,web_interface_mean,human_risk,original_web_risk,human_risk,180,0.10631309662912683,0.15548203850743755,0.058124493545273805,0.43831327578766166
task+domain+generator,api_mean_full810,human_quality,api_quality,human_quality,180,0.05559063116779518,0.45856974971738607,0.04400581298175321,0.5574918424031368
task+domain+generator,api_mean_full810,human_risk,api_risk,human_risk,180,0.03713836471391052,0.6206262470856395,0.05436006599100266,0.4685919241760252
task+domain+generator,web_interface_mean,human_quality,web_quality_5dim,human_quality,180,-0.06793068673331906,0.3648916065197736,-0.09972735503708678,0.18286527689265358
task+domain+generator,web_interface_mean,human_risk,original_web_risk,human_risk,180,0.09687810516299904,0.19575301881780674,0.051544074137377834,0.49197211247172873
task+concept+generator,api_mean_full810,human_quality,api_quality,human_quality,180,0.007802784229538609,0.9172029952241798,0.013789541533512618,0.8542284427981068
task+concept+generator,api_mean_full810,human_risk,api_risk,human_risk,180,0.07554265930233474,0.31350667181358904,0.09424580413577849,0.2082347955570271
task+concept+generator,web_interface_mean,human_quality,web_quality_5dim,human_quality,180,-0.12331701873917508,0.0990972121669213,-0.1488330891552773,0.04615051558226154
task+concept+generator,web_interface_mean,human_risk,original_web_risk,human_risk,180,0.055963510670187636,0.45555657704229735,0.037025947625962556,0.6216849724209117
