task,source,target,n,pearson_r,pearson_p,spearman_r,spearman_p
A,api_mean_full810,human_quality,60,-0.009935247705616712,0.9399433756459101,0.029686021553439797,0.8218553122468377
A,api_mean_full810,human_risk,60,0.019185649229531348,0.8843172620670845,0.026940921497126128,0.8380951189915427
A,web_interface_mean,human_quality,60,0.05607917780484837,0.6704103795566357,0.05266606867177776,0.6894176101550208
A,web_interface_mean,human_risk,60,0.10700940785721932,0.4157622526822793,0.04049263238792137,0.7587044253052411
B,api_mean_full810,human_quality,60,0.14365643048602136,0.2734983837780633,0.06260693352810306,0.6346327186796796
B,api_mean_full810,human_risk,60,0.08353983040944638,0.5256924821972819,0.10479950460907911,0.4255120724519808
B,web_interface_mean,human_quality,60,0.31547623748311565,0.014075953455313457,0.21194047811464534,0.10401852854713803
B,web_interface_mean,human_risk,60,0.1596271132790711,0.22311533876928538,0.19548357473018166,0.13443508895021622
C,api_mean_full810,human_quality,60,0.02234122459375099,0.8654544156011968,0.28563675286619694,0.02694569492788765
C,api_mean_full810,human_risk,60,0.05284203170948814,0.68843288598359,0.12340365001521957,0.3475409644780049
C,web_interface_mean,human_quality,60,0.10890519984150067,0.40750160316052686,0.03180468456547403,0.8093717214927567
C,web_interface_mean,human_risk,60,0.06418616159477414,0.6260967449482191,0.07282757815313366,0.5802713974450868
