item_id,api_mean_quality,api_sd_quality,api_mean_risk,api_sd_risk,n_api_judges_success,domain,concept,task_type,expert_quality,expert_risk,original_web_quality,original_web_risk,min_quality_provider,min_quality,max_quality_provider,max_quality,min_risk_provider,min_risk,max_risk_provider,max_risk,quality_range,risk_range,risk_disagreement_rank,quality_disagreement_rank
ITEM_088,1.1111111111111112,0.26666666666666666,3.2222222222222223,2.1081851067789197,9,Climate/Environment,二氧化碳的气候作用,C,4.75,1.0,4.555555555555555,1.0,anthropic,1.0,gemini,1.8,gemini,1.0,openai,5.0,0.8,4.0,1,126
ITEM_242,1.1111111111111112,0.26666666666666666,3.2222222222222223,2.1081851067789197,9,Physics,净力与加速度,C,3.916666666666667,2.5,4.333333333333333,1.0,anthropic,1.0,gemini,1.8,gemini,1.0,openai,5.0,0.8,4.0,1,126
ITEM_431,1.0666666666666667,0.14142135623730948,3.2222222222222223,2.1081851067789197,9,Chemistry,化学键,C,4.5,1.5,4.75,1.25,gemini,1.0,qwen,1.4,gemini,1.0,openai,5.0,0.3999999999999999,4.0,1,135
ITEM_069,1.0666666666666667,0.14142135623730945,3.2222222222222223,2.1081851067789197,9,Chemistry,相变,C,4.5,1.5,4.444444444444445,1.0,gemini,1.0,kimi,1.4,gemini,1.0,openai,5.0,0.3999999999999999,4.0,1,137
ITEM_708,1.0666666666666667,0.14142135623730945,3.2222222222222223,2.1081851067789197,9,Biology,光合作用与细胞呼吸,C,4.611111111111111,1.0,4.875,1.0,gemini,1.0,kimi,1.4,gemini,1.0,openai,5.0,0.3999999999999999,4.0,1,137
ITEM_702,1.0444444444444445,0.13333333333333333,3.2222222222222223,2.1081851067789197,9,Chemistry,溶液浓度与稀释,C,4.75,1.5,4.75,1.0,gemini,1.0,openai,1.4,gemini,1.0,openai,5.0,0.3999999999999999,4.0,1,143
ITEM_261,1.0222222222222221,0.06666666666666671,3.2222222222222223,2.1081851067789197,9,Geoscience,岩石循环,C,4.944444444444444,1.3333333333333333,4.555555555555555,1.0,gemini,1.0,openai,1.2,gemini,1.0,openai,5.0,0.19999999999999996,4.0,1,145
ITEM_540,1.0222222222222221,0.06666666666666671,3.2222222222222223,2.1081851067789197,9,Climate/Environment,自然变率与人为影响,C,4.583333333333334,1.5,4.666666666666667,1.0,gemini,1.0,openai,1.2,gemini,1.0,openai,5.0,0.19999999999999996,4.0,1,145
ITEM_608,1.0222222222222221,0.06666666666666671,3.2222222222222223,2.1081851067789197,9,Chemistry,物质微粒观,C,4.416666666666667,1.5,4.5,1.25,gemini,1.0,openai,1.2,gemini,1.0,openai,5.0,0.19999999999999996,4.0,1,145
ITEM_448,1.0,0.0,3.2222222222222223,2.1081851067789197,9,Climate/Environment,二氧化碳的气候作用,C,4.833333333333334,1.0,4.875,1.0,openai,1.0,openai,1.0,gemini,1.0,openai,5.0,0.0,4.0,1,171
