metric,model_a,model_b,pearson,spearman
quality,anthropic,deepseek,0.8553114314314337,0.8628525738568504
quality,anthropic,doubao,0.8762248337303555,0.8728104637410321
quality,anthropic,gemini,0.8727464778187808,0.8981656013227347
quality,anthropic,glm,0.7001733932691061,0.6651799395386088
quality,anthropic,kimi,0.8687935226099566,0.8655230820657618
quality,anthropic,mimo,0.814464729319377,0.8087211487797128
quality,anthropic,openai,0.8947174943308864,0.9115940777357213
quality,anthropic,qwen,0.8899879876302346,0.9025124314393695
quality,deepseek,doubao,0.9264669540602939,0.8548053603367193
quality,deepseek,gemini,0.9308353199262372,0.853438812909068
quality,deepseek,glm,0.8453055613362177,0.7279349815438183
quality,deepseek,kimi,0.9261257878034606,0.8458712019634346
quality,deepseek,mimo,0.8591931889711734,0.8012600511697618
quality,deepseek,openai,0.9200879972880407,0.836501730117647
quality,deepseek,qwen,0.9368072656589211,0.8838695969656326
quality,doubao,gemini,0.9538862510764035,0.8727694818662796
quality,doubao,glm,0.8614988613497752,0.7349665723941918
quality,doubao,kimi,0.948186778812823,0.8734311752282312
quality,doubao,mimo,0.8711396508246637,0.8054586462547579
quality,doubao,openai,0.9527471931244252,0.8708025299069003
quality,doubao,qwen,0.9462050268537905,0.887879089025783
quality,gemini,glm,0.8791775862888749,0.7243534167113239
quality,gemini,kimi,0.9500259723349649,0.8632635918705868
quality,gemini,mimo,0.8659094357520875,0.7839726442156212
quality,gemini,openai,0.9670792099655464,0.8873042846799936
quality,gemini,qwen,0.9529153654913726,0.884766966585333
quality,glm,kimi,0.8647037582388282,0.7231694622133777
quality,glm,mimo,0.7926350006994793,0.6877378806098011
quality,glm,openai,0.8546428789015592,0.6649684660713657
quality,glm,qwen,0.8455590603704689,0.6889409671401423
quality,kimi,mimo,0.8725888467850197,0.7939683693428348
quality,kimi,openai,0.9601113107161132,0.885580774487483
quality,kimi,qwen,0.9478746024574924,0.873688047463401
quality,mimo,openai,0.866400927472077,0.7894244627282788
quality,mimo,qwen,0.8650360959174366,0.8036481360274116
quality,openai,qwen,0.965600950715465,0.9096939881612676
risk,anthropic,deepseek,0.8101655619789799,0.7823391384931183
risk,anthropic,doubao,0.8244626233514509,0.7976273086229438
risk,anthropic,gemini,0.3392197929738233,0.29493977655053133
risk,anthropic,glm,-0.2918620571397253,-0.31077723710517685
risk,anthropic,kimi,-0.04335273802637207,-0.0890672639477598
risk,anthropic,mimo,0.02565463137287652,-0.10644319066808415
risk,anthropic,openai,0.8155234921675598,0.7960208064189762
risk,anthropic,qwen,0.8182501281886563,0.8107843819357673
risk,deepseek,doubao,0.8962052686610393,0.8021826073756919
risk,deepseek,gemini,0.28754127492610015,0.1999420165878157
risk,deepseek,glm,-0.3571626789295924,-0.33487146636009585
risk,deepseek,kimi,-0.2265534788084333,-0.20225273948887304
risk,deepseek,mimo,0.010656581068068612,-0.12717475089886096
risk,deepseek,openai,0.8373437208754928,0.7665522241008688
risk,deepseek,qwen,0.9165761868892167,0.8596351902738841
risk,doubao,gemini,0.3047553512696934,0.232654780711326
risk,doubao,glm,-0.3359375099423889,-0.30454475913553786
risk,doubao,kimi,-0.18442405900239603,-0.1682336083338783
risk,doubao,mimo,0.009750502885339029,-0.13403593922276252
risk,doubao,openai,0.8592142354413115,0.8048396333052973
risk,doubao,qwen,0.889996210885481,0.8392029721561571
risk,gemini,glm,-0.01904872066088528,0.09952128488609706
risk,gemini,kimi,-0.014507015420763452,0.15790304853027284
risk,gemini,mimo,0.1064037788408039,0.10229943257173144
risk,gemini,openai,0.31427740563789713,0.2590301497851492
risk,gemini,qwen,0.34836583520402875,0.28548859510416913
risk,glm,kimi,0.33440595352968067,0.3275272047305255
risk,glm,mimo,-0.02377134214681327,0.10493970615554699
risk,glm,openai,-0.2656227363144024,-0.2846000121017778
risk,glm,qwen,-0.2804195233469533,-0.2676751422691512
risk,kimi,mimo,0.1074918181458393,0.25279421574827254
risk,kimi,openai,-0.09353936819762507,-0.11390250232271337
risk,kimi,qwen,-0.09869014891744189,-0.07530453583547289
risk,mimo,openai,-0.018360423838757373,-0.1797579349002637
risk,mimo,qwen,0.025504898341636738,-0.10510454042502579
risk,openai,qwen,0.8682303555425857,0.8220237025081831
