rater_id,file,identity,field,familiarity,calibration_pass,included_primary
R01_01,historical_batch_01,硕士研究生,地理,4,True,True
R01_02,historical_batch_01,硕士研究生,地理,4,True,True
R01_03,historical_batch_01,硕士研究生,地理,4,True,True
R01_04,historical_batch_01,硕士研究生,地理,4,True,True
R01_05,historical_batch_01,硕士研究生,地理,4,True,True
R01_06,historical_batch_01,硕士研究生,地理,4,True,True
R01_07,historical_batch_01,硕士研究生,地理,4,True,True
R01_08,historical_batch_01,硕士研究生,科学传播,4,True,True
R01_09,historical_batch_01,硕士研究生,现当代文学,1,True,False
R01_10,historical_batch_01,硕士研究生,虚拟社区,2,True,False
R02_01,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_02,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_03,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_04,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_05,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_06,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_07,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_08,historical_batch_02,硕士研究生,大气科学,4,True,True
R02_09,historical_batch_02,硕士研究生,古气候学,4,True,True
R02_10,historical_batch_02,其他,气象学,3,True,True
R03_01,historical_batch_03,硕士研究生,物理,4,True,True
R03_02,historical_batch_03,硕士研究生,物理,4,True,True
R03_03,historical_batch_03,硕士研究生,物理,4,True,True
R03_04,historical_batch_03,硕士研究生,物理,4,True,True
R03_05,historical_batch_03,硕士研究生,物理,4,True,True
R03_06,historical_batch_03,硕士研究生,物理,4,True,True
R03_07,historical_batch_03,硕士研究生,物理,4,True,True
R03_08,historical_batch_03,硕士研究生,光量子精密测量,3,True,True
R03_09,historical_batch_03,硕士研究生,科学传播、新闻传播,4,True,True
R03_10,historical_batch_03,硕士研究生,科技传播,3,True,True
R04_01,historical_batch_04,硕士研究生,化学,4,True,True
R04_02,historical_batch_04,硕士研究生,化学,4,True,True
R04_03,historical_batch_04,硕士研究生,化学,4,True,True
R04_04,historical_batch_04,硕士研究生,化学,4,True,True
R04_05,historical_batch_04,硕士研究生,化学,4,True,True
R04_06,historical_batch_04,硕士研究生,化学,4,True,True
R04_07,historical_batch_04,硕士研究生,化学,4,True,True
R04_08,historical_batch_04,硕士研究生,化学,4,True,True
R04_09,historical_batch_04,硕士研究生,化学,4,True,True
R04_10,historical_batch_04,中小学或科普教育从业者,中学化学教育,5,True,True
R05_01,historical_batch_05,硕士研究生,生物,4,True,True
R05_02,historical_batch_05,硕士研究生,生物,3,True,True
R05_03,historical_batch_05,硕士研究生,生物制药,4,True,True
R05_04,historical_batch_05,硕士研究生,生物教育,4,True,True
R05_05,historical_batch_05,硕士研究生,生物教学,4,True,True
R05_06,historical_batch_05,博士研究生,生物,4,True,True
R05_07,historical_batch_05,硕士研究生,学科教育（生物）,4,True,True
R05_08,historical_batch_05,硕士研究生,科学高中背景下高中生能力培养研究路径,4,True,True
R05_09,historical_batch_05,硕士研究生,学科教学（生物）,4,True,True
R05_10,historical_batch_05,中小学或科普教育从业者,初中生物学,4,True,True
