group,n_judge_case_pairs,n_judges,quality_expected_direction_rate,risk_expected_direction_rate,both_expected_direction_rate,quality_tie_rate,risk_tie_rate,mean_quality_gap_expected_minus_other,mean_risk_gap_expected_minus_other
all_available_official_api_judges,72,9,0.9444444444444444,0.8888888888888888,0.875,0.0,0.1111111111111111,2.2027777777777775,2.9583333333333335
judge:anthropic,8,1,0.875,0.875,0.875,0.0,0.125,1.825,2.375
judge:deepseek,8,1,0.875,0.875,0.875,0.0,0.125,2.2,2.875
judge:doubao,8,1,0.875,1.0,0.875,0.0,0.0,2.0,3.0
judge:gemini,8,1,1.0,0.875,0.875,0.0,0.125,2.45,3.125
judge:glm,8,1,1.0,0.75,0.75,0.0,0.25,2.35,3.0
judge:kimi,8,1,1.0,1.0,1.0,0.0,0.0,2.325,3.375
judge:mimo,8,1,0.875,0.75,0.75,0.0,0.25,2.2,2.875
judge:openai,8,1,1.0,1.0,1.0,0.0,0.0,2.175,3.0
judge:qwen,8,1,1.0,0.875,0.875,0.0,0.125,2.3,3.0
case:A01,9,9,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.0,0.5555555555555556,0.11111111111111097,0.5555555555555556
case:A02,9,9,1.0,1.0,1.0,0.0,0.0,2.9555555555555557,3.6666666666666665
case:A03,9,9,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.9777777777777776,0.6666666666666666
case:A04,9,9,1.0,1.0,1.0,0.0,0.0,2.4222222222222225,3.5555555555555554
case:A05,9,9,1.0,1.0,1.0,0.0,0.0,2.488888888888889,3.7777777777777777
case:A06,9,9,1.0,1.0,1.0,0.0,0.0,3.2444444444444445,3.888888888888889
case:A07,9,9,1.0,1.0,1.0,0.0,0.0,2.733333333333333,3.6666666666666665
case:A08,9,9,1.0,1.0,1.0,0.0,0.0,2.6888888888888887,3.888888888888889
