file,exists,rows,bytes
case_disagreement_examples.csv,True,29,4706
codebook.csv,True,17,2697
dimension_gap_summary.csv,True,6,1013
domain_gap_summary.csv,True,5,1168
generated_items_810.csv,True,810,708658
generator_rank_alignment.csv,True,9,615
judge_human_alignment.csv,True,9,661
llm_judge_scores_6929.csv,True,6929,778937
qualitative_themes.csv,True,8,752
stats_summary.json,True,,1107
task_domain_gap_matrix.csv,True,15,2241
task_gap_summary.csv,True,3,631
third_party_mechanism_validation.csv,True,216,29273
