judge,item_id,generator,task,domain,concept_id,concept,fa,cc,lc,tf,mq,risk,overall,judge_file
Anthropic Claude,千问_A_C01,Alibaba Qwen,A,Physics,C01,惯性,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C02,Alibaba Qwen,A,Physics,C02,净力与加速度,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C03,Alibaba Qwen,A,Physics,C03,牛顿第三定律,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C04,Alibaba Qwen,A,Physics,C04,抛体运动,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C05,Alibaba Qwen,A,Physics,C05,圆周运动,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C06,Alibaba Qwen,A,Physics,C06,摩擦力与运动,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C07,Alibaba Qwen,A,Chemistry,C07,质量守恒,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C08,Alibaba Qwen,A,Chemistry,C08,物质微粒观,4.0,4.0,4.0,5.0,3.0,2.0,4.0,claude.txt
Anthropic Claude,千问_A_C09,Alibaba Qwen,A,Chemistry,C09,相变,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C10,Alibaba Qwen,A,Chemistry,C10,化学反应与物理变化,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C11,Alibaba Qwen,A,Chemistry,C11,化学键,4.0,3.0,4.0,5.0,3.0,2.0,4.0,claude.txt
Anthropic Claude,千问_A_C12,Alibaba Qwen,A,Chemistry,C12,溶液浓度与稀释,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C13,Alibaba Qwen,A,Biology,C13,自然选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C14,Alibaba Qwen,A,Biology,C14,进化没有预设目标,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C15,Alibaba Qwen,A,Biology,C15,随机变异与非随机选择,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C16,Alibaba Qwen,A,Biology,C16,遗传信息与性状,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C17,Alibaba Qwen,A,Biology,C17,能量流动与物质循环,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C18,Alibaba Qwen,A,Biology,C18,光合作用与细胞呼吸,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C19,Alibaba Qwen,A,Geoscience,C19,板块构造,5.0,4.0,4.0,5.0,3.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C20,Alibaba Qwen,A,Geoscience,C20,地质时间,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C21,Alibaba Qwen,A,Geoscience,C21,岩石循环,5.0,4.0,5.0,5.0,4.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C22,Alibaba Qwen,A,Geoscience,C22,地震成因,5.0,5.0,5.0,5.0,5.0,1.0,5.0,claude.txt
Anthropic Claude,千问_A_C23,Alibaba Qwen,A,Geoscience,C23,火山与板块边界,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
Anthropic Claude,千问_A_C24,Alibaba Qwen,A,Geoscience,C24,地球内部结构,5.0,4.0,4.0,5.0,4.0,1.0,4.0,claude.txt
