item_id,n_prof_ratings,fa_prof,cc_prof,lc_prof,tf_prof,mq_prof,risk_prof,quality5_prof,quality3_prof,quality5_sd,risk_sd
ITEM_004,10,4.6,4.8,4.2,4.2,4.7,1.3,4.5,4.7,0.25385910352879676,0.9486832980505139
ITEM_010,10,4.0,3.5,4.0,4.2,3.5,1.8,3.84,3.666666666666667,0.5796550698475775,0.4216370213557839
ITEM_016,10,4.4,4.1,4.2,4.2,3.8,1.4,4.14,4.1,0.6736302975503533,0.5163977794943222
ITEM_022,10,4.1,3.4,3.5,4.1,4.2,1.7,3.8600000000000003,3.9,0.5660781257427674,0.4830458915396479
ITEM_028,10,4.8,4.1,4.3,4.6,4.2,1.7,4.4,4.366666666666666,0.26666666666666644,0.674948557710553
ITEM_063,10,1.6,4.5,4.5,1.8,3.7,1.6,3.22,3.2666666666666666,0.6957010852370435,1.2649110640673518
ITEM_064,10,1.3,1.7,2.0,1.7,1.7,4.9,1.6800000000000002,1.5666666666666667,1.1933147112141038,0.316227766016838
ITEM_069,10,4.0,4.0,4.0,3.9,3.6,1.9,3.9,3.8666666666666663,0.483045891539648,0.31622776601683794
ITEM_070,10,4.1,3.9,3.9,4.0,3.5,1.9,3.88,3.8333333333333335,0.5827139568909908,0.31622776601683794
ITEM_075,10,4.2,3.9,3.8,3.9,3.3,2.1,3.8200000000000003,3.8,0.5613475849338903,0.7378647873726218
ITEM_076,10,4.1,3.9,4.0,3.9,3.4,1.4,3.8600000000000003,3.8,0.6113736809658867,0.5163977794943222
ITEM_081,10,4.7,4.7,4.7,4.8,4.6,1.0,4.7,4.666666666666666,0.2867441755680874,0.0
ITEM_082,10,4.6,4.5,4.4,4.6,4.1,1.1,4.4399999999999995,4.4,0.3864367132317184,0.31622776601683794
ITEM_087,10,4.3,4.4,4.3,4.4,4.3,1.4,4.34,4.333333333333334,0.4526465385804791,0.5163977794943222
ITEM_088,10,4.3,4.3,4.4,4.5,4.3,1.4,4.36,4.3,0.3864367132317182,0.5163977794943222
ITEM_092,10,4.7,1.7,2.9,1.7,1.7,3.0,2.54,2.7,1.0668749796589208,0.816496580927726
ITEM_096,10,4.8,2.5,3.8,4.6,4.2,1.7,3.9799999999999995,3.8333333333333335,0.4049691346263318,0.9486832980505137
ITEM_098,10,4.1,4.4,3.8,3.9,3.8,1.9,4.0,4.1,0.3887301263230201,0.31622776601683794
ITEM_102,10,4.1,4.6,4.2,4.0,4.1,1.8,4.2,4.266666666666667,0.32659863237109077,0.4216370213557839
ITEM_104,10,4.0,3.6,3.6,3.9,3.1,1.8,3.6399999999999997,3.5666666666666664,0.782020175926143,1.0327955589886444
ITEM_108,10,3.9,4.0,3.9,3.8,3.6,1.7,3.84,3.8333333333333335,0.49710271686152646,0.9486832980505138
ITEM_110,10,4.3,3.8,3.9,4.0,3.4,2.0,3.88,3.8333333333333335,0.5977736472389306,0.816496580927726
ITEM_114,10,4.8,4.7,3.4,4.1,4.0,2.0,4.2,4.5,0.33993463423951903,0.816496580927726
ITEM_116,10,4.4,4.3,4.1,4.3,4.5,1.6,4.32,4.4,0.4341018825626588,0.5163977794943222
ITEM_120,10,4.6,4.0,4.3,4.4,4.2,1.6,4.3,4.266666666666667,0.5354126134736337,0.5163977794943222
ITEM_125,10,4.4,4.6,4.8,4.6,4.7,1.3,4.62,4.566666666666666,0.3190262963734772,0.9486832980505139
ITEM_126,10,4.7,3.6,3.3,3.9,3.6,1.2,3.8200000000000003,3.9666666666666663,0.43665394383500866,0.6324555320336759
ITEM_131,10,4.2,4.1,3.9,4.0,3.8,1.8,4.0,4.033333333333333,0.5497474167490214,0.4216370213557839
ITEM_132,10,4.0,3.5,4.1,4.2,3.7,1.9,3.9,3.733333333333333,0.6055300708194985,0.31622776601683794
ITEM_137,10,3.8,4.1,3.9,3.9,3.6,1.7,3.8600000000000003,3.833333333333333,0.5420127099780759,0.6749485577105528
ITEM_138,10,3.6,3.4,3.7,3.7,3.4,1.7,3.56,3.4666666666666663,0.4788875998951459,0.9486832980505138
ITEM_143,10,4.9,4.8,4.9,4.6,4.5,1.1,4.74,4.733333333333333,0.3777124126457414,0.31622776601683794
ITEM_144,10,4.7,4.3,4.6,4.6,4.2,1.2,4.48,4.4,0.34253953543107,0.4216370213557839
ITEM_149,10,4.6,4.5,4.3,4.4,4.2,1.4,4.4,4.433333333333334,0.2981423969999721,0.5163977794943222
ITEM_150,10,4.6,4.3,4.2,4.7,4.1,1.6,4.38,4.333333333333334,0.304776785350999,0.5163977794943222
ITEM_183,10,4.3,3.2,4.5,4.5,4.3,1.2,4.16,3.9333333333333336,0.5947922139518789,0.6324555320336759
ITEM_184,10,4.7,2.6,4.6,4.2,3.5,1.3,3.9200000000000004,3.6,0.40221608343995596,0.9486832980505139
ITEM_189,10,4.1,4.0,4.2,3.8,3.8,1.8,3.9799999999999995,3.9666666666666663,0.502880591083896,0.4216370213557839
ITEM_190,10,4.1,4.0,4.0,4.1,3.3,1.9,3.9,3.8,0.5754225500544023,0.31622776601683794
ITEM_195,10,4.1,3.9,3.4,4.0,3.5,1.9,3.78,3.8333333333333335,0.4049691346263318,0.5676462121975466
ITEM_196,10,4.2,3.5,4.1,3.8,3.7,1.6,3.8600000000000003,3.8,0.42216373863966855,0.5163977794943222
ITEM_201,10,3.9,3.2,3.2,3.4,3.8,1.4,3.5,3.6333333333333337,0.5676462121975466,0.6992058987801011
ITEM_202,10,4.8,4.5,4.4,4.2,4.0,1.5,4.38,4.433333333333334,0.4565571644870379,1.0801234497346435
ITEM_207,10,4.4,4.2,4.5,4.5,4.0,1.3,4.32,4.2,0.2347575581554534,0.48304589153964794
ITEM_208,10,4.6,4.4,4.4,4.4,4.3,1.2,4.42,4.433333333333334,0.30477678535099856,0.4216370213557839
ITEM_211,10,4.8,3.4,3.8,2.3,2.2,1.3,3.3,3.4666666666666663,0.6815016100086956,0.9486832980505139
ITEM_214,10,4.4,4.5,4.5,4.4,4.0,1.3,4.36,4.3,0.5719362823873928,0.6749485577105528
ITEM_217,10,4.1,3.7,4.1,3.9,3.6,1.9,3.88,3.8,0.5593647190240809,0.31622776601683794
ITEM_220,10,4.2,3.9,4.0,4.0,3.5,1.7,3.9200000000000004,3.8666666666666663,0.6124631508189788,0.4830458915396479
ITEM_223,10,3.7,3.5,3.6,3.3,3.6,1.9,3.54,3.6,0.7720103626247513,0.8755950357709131
ITEM_226,10,3.5,3.4,3.6,3.7,2.3,3.2,3.3,3.066666666666667,0.5597618541248888,1.0327955589886446
ITEM_229,10,4.7,4.2,4.1,3.9,3.3,2.0,4.04,4.066666666666666,0.4087922591134905,0.816496580927726
ITEM_232,10,4.1,4.4,4.6,3.5,2.5,1.6,3.8200000000000003,3.6666666666666665,0.5769652406245014,0.9660917830792959
ITEM_235,10,4.8,4.0,4.1,4.3,3.6,1.5,4.16,4.133333333333333,0.1837873166945364,0.5270462766947299
ITEM_238,10,4.3,4.1,4.4,4.1,4.4,1.5,4.26,4.266666666666667,0.41150131632029247,0.5270462766947299
ITEM_242,10,4.7,4.7,4.6,4.7,4.5,1.3,4.64,4.633333333333334,0.548128127762519,0.6749485577105528
ITEM_243,10,4.6,4.4,3.4,3.2,3.1,1.3,3.7399999999999998,4.033333333333333,0.38930136855083813,0.9486832980505139
ITEM_248,10,4.2,3.6,4.0,3.6,3.4,1.8,3.7600000000000002,3.7333333333333334,0.5641118880348315,0.4216370213557839
ITEM_249,10,4.1,3.9,4.1,3.9,3.4,1.9,3.88,3.8,0.543241300999023,0.31622776601683794
ITEM_254,10,4.0,4.1,3.9,4.2,3.3,1.6,3.9,3.8,0.5597618541248889,0.6992058987801009
ITEM_255,10,4.2,4.0,3.9,3.8,3.4,1.7,3.8600000000000003,3.8666666666666663,0.5738757124441958,0.6749485577105532
ITEM_260,10,5.0,4.4,4.3,4.6,4.7,1.7,4.6,4.7,0.28284271247461884,1.2516655570345725
ITEM_261,10,4.8,4.5,4.6,4.5,4.8,1.1,4.64,4.7,0.33730961708462714,0.31622776601683794
ITEM_266,10,4.5,4.4,4.5,4.1,4.5,1.4,4.4,4.466666666666667,0.4618802153517005,0.5163977794943222
ITEM_267,10,4.2,4.7,4.5,4.4,4.4,1.5,4.4399999999999995,4.433333333333334,0.3977715704047016,0.5270462766947299
ITEM_275,10,4.9,1.8,4.5,2.5,3.9,1.4,3.5200000000000005,3.5333333333333337,0.5902918298980975,1.2649110640673518
ITEM_281,10,4.1,4.2,4.3,4.2,3.4,1.8,4.04,3.9,0.5146735750831674,0.4216370213557839
ITEM_287,10,4.0,3.5,3.5,3.9,3.1,2.7,3.6,3.5333333333333337,0.44221663871405337,0.9486832980505139
ITEM_293,10,4.8,3.9,3.3,4.0,4.0,1.1,4.0,4.2333333333333325,0.4109609335312651,0.31622776601683794
ITEM_299,10,4.5,4.0,4.3,4.3,4.4,1.4,4.3,4.3,0.3431876713662332,0.5163977794943222
ITEM_302,10,4.5,2.3,3.4,1.7,1.7,1.2,2.7199999999999998,2.833333333333333,0.3011090610836324,0.4216370213557839
ITEM_303,10,3.3,4.4,4.0,4.1,4.5,1.3,4.0600000000000005,4.066666666666666,0.3533962208186286,0.9486832980505139
ITEM_308,10,4.2,4.0,3.6,4.0,3.0,1.8,3.7600000000000002,3.7333333333333334,0.5872724145478732,0.4216370213557839
ITEM_309,10,4.1,3.8,3.8,3.6,3.3,1.9,3.72,3.7333333333333334,0.5902918298980974,0.31622776601683794
ITEM_314,10,3.2,3.2,2.9,3.3,2.2,3.2,2.96,2.8666666666666667,0.39777157040470124,1.2292725943057183
ITEM_315,10,3.8,4.1,3.8,3.7,3.4,1.9,3.7600000000000002,3.7666666666666666,0.6168017869984203,0.8755950357709131
ITEM_320,10,1.7,3.8,3.5,3.0,2.8,3.7,2.96,2.7666666666666666,0.6310485101972921,0.9486832980505138
ITEM_321,10,4.9,4.7,4.6,4.1,3.9,1.3,4.4399999999999995,4.5,0.53166405433005,0.9486832980505139
ITEM_326,10,4.6,4.1,4.4,4.2,4.2,1.6,4.3,4.3,0.4242640687119283,0.5163977794943222
ITEM_327,10,4.4,4.4,4.5,4.5,4.6,1.4,4.4799999999999995,4.466666666666667,0.2529822128134701,0.5163977794943222
ITEM_366,10,5.0,5.0,5.0,5.0,4.9,1.4,4.9799999999999995,4.966666666666667,0.06324555320336765,1.2649110640673518
ITEM_372,10,4.2,4.6,4.4,4.1,3.5,1.8,4.16,4.1,0.37475918193480534,0.6324555320336759
ITEM_378,10,3.9,4.1,4.1,4.0,3.2,2.0,3.8600000000000003,3.7333333333333334,0.5253570214625479,0.816496580927726
ITEM_384,10,4.6,4.7,4.3,4.1,4.1,1.6,4.36,4.466666666666667,0.2796823595120405,0.5163977794943222
ITEM_390,10,4.4,4.3,4.6,4.4,4.2,1.4,4.38,4.3,0.3190262963734772,0.5163977794943222
ITEM_391,10,4.6,3.2,4.0,1.7,1.8,1.4,3.0599999999999996,3.2,0.7777460310981272,0.9660917830792959
ITEM_394,10,4.8,4.8,4.7,4.8,4.5,1.2,4.72,4.7,0.30110906108363245,0.6324555320336759
ITEM_396,10,3.6,3.7,3.4,3.7,3.9,1.1,3.66,3.7333333333333334,0.5337498373666159,0.31622776601683794
ITEM_397,10,4.2,3.9,3.8,3.7,3.2,1.8,3.7600000000000002,3.7666666666666666,0.5719362823873925,0.4216370213557839
ITEM_400,10,4.1,4.2,4.3,3.7,3.2,1.7,3.9,3.8333333333333335,0.5754225500544023,0.4830458915396479
ITEM_402,10,4.2,3.7,4.2,4.0,3.7,2.0,3.96,3.8666666666666663,0.6380525927469547,0.4714045207910319
ITEM_403,10,3.7,3.9,4.0,3.6,3.1,1.6,3.66,3.5666666666666664,0.596657355607052,0.5163977794943222
ITEM_406,10,4.1,4.0,3.9,4.0,3.4,2.0,3.88,3.8333333333333335,0.6477310827461928,1.1547005383792515
ITEM_408,10,3.7,3.6,3.7,3.4,3.2,2.0,3.5200000000000005,3.5,0.5349974039397035,0.9428090415820634
ITEM_409,10,4.1,3.1,3.2,3.5,3.1,2.2,3.4,3.4333333333333336,0.5887840577551897,0.7888106377466155
ITEM_412,10,4.9,4.7,4.5,4.6,4.4,1.1,4.62,4.666666666666667,0.4049691346263318,0.31622776601683794
ITEM_414,10,3.4,3.8,3.6,3.6,3.4,1.4,3.56,3.5333333333333337,0.61680178699842,0.5163977794943222
ITEM_415,10,4.4,4.3,3.9,3.8,4.2,1.5,4.12,4.3,0.2699794230842213,0.5270462766947299
ITEM_418,10,4.6,4.2,4.5,4.2,4.2,1.6,4.34,4.333333333333334,0.32727833889689534,0.5163977794943222
ITEM_420,10,4.8,4.1,4.4,4.5,4.6,1.4,4.4799999999999995,4.5,0.34253953543106996,0.5163977794943222
ITEM_424,10,2.6,4.7,4.8,4.7,3.7,3.0,4.1,3.6666666666666665,0.5354126134736337,0.9428090415820634
ITEM_425,10,4.8,4.9,4.5,4.3,4.1,1.6,4.5200000000000005,4.6,0.3910100879630713,1.2649110640673518
ITEM_430,10,4.1,4.1,4.2,4.1,3.5,1.9,4.0,3.9,0.45215533220835125,0.31622776601683794
ITEM_431,10,4.1,3.8,4.3,4.1,3.6,1.9,3.9799999999999995,3.8333333333333335,0.5116422361159971,0.31622776601683794
ITEM_436,10,4.1,4.1,4.1,4.0,3.3,1.6,3.9200000000000004,3.8333333333333335,0.5513619500836091,0.5163977794943222
ITEM_437,10,4.0,3.9,4.1,3.9,3.5,1.6,3.88,3.8,0.5593647190240809,0.5163977794943222
ITEM_442,10,4.7,4.4,4.2,4.3,4.8,1.3,4.4799999999999995,4.633333333333334,0.5750362307426085,0.6749485577105528
ITEM_443,10,4.8,4.5,4.6,4.7,4.3,1.1,4.58,4.533333333333333,0.3190262963734771,0.31622776601683794
ITEM_448,10,4.4,4.6,4.3,4.5,4.3,1.4,4.42,4.433333333333334,0.3047767853509987,0.5163977794943222
ITEM_449,10,4.4,4.3,4.5,4.4,4.1,1.4,4.34,4.266666666666667,0.5966573556070518,0.6992058987801011
ITEM_451,10,4.6,4.1,3.8,4.2,3.7,1.9,4.08,4.133333333333333,0.5902918298980975,0.5676462121975466
ITEM_453,10,4.5,4.1,4.0,4.6,4.3,1.3,4.3,4.3,0.25385910352879687,0.9486832980505139
ITEM_457,10,3.9,3.8,3.8,3.9,3.5,2.1,3.78,3.7333333333333334,0.39384147967311817,0.8755950357709131
ITEM_459,10,4.0,3.8,4.2,4.0,3.7,1.8,3.94,3.8333333333333335,0.49035134795822105,0.4216370213557839
ITEM_463,10,3.2,3.6,3.2,3.9,3.6,1.7,3.5,3.4666666666666663,0.3915780041490243,0.9486832980505138
ITEM_465,10,3.7,3.3,3.6,4.4,4.0,1.5,3.8,3.6666666666666665,0.28284271247461906,0.7071067811865476
ITEM_469,10,5.0,3.8,3.8,3.9,2.6,1.3,3.8200000000000003,3.8,0.22010098692292251,0.4830458915396479
ITEM_471,10,4.0,3.4,3.6,3.4,3.3,1.4,3.54,3.5666666666666664,0.5501514942874068,0.699205898780101
ITEM_475,10,4.4,4.3,4.7,4.5,4.5,1.2,4.4799999999999995,4.4,0.3425395354310698,0.4216370213557839
