item_id,source_item_uid,domain,concept,task,group_index,is_repeated_check,rater_id,included_primary,fa,cc,lc,tf,mq,risk,quality5,quality3_science
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_01,True,4,4,4,5,5,1,4.4,4.333333333333333
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_01,True,5,4,5,5,4,5,4.6,4.333333333333333
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_02,True,5,5,5,5,5,1,5.0,5.0
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_02,True,5,4,5,5,5,1,4.8,4.666666666666667
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_03,True,4,5,5,4,4,1,4.4,4.333333333333333
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_03,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_04,True,5,4,4,5,4,1,4.4,4.333333333333333
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_04,True,5,4,5,4,4,2,4.4,4.333333333333333
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_05,True,5,4,5,5,4,1,4.6,4.333333333333333
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_05,True,5,5,5,5,4,1,4.8,4.666666666666667
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_06,True,5,4,5,5,4,1,4.6,4.333333333333333
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_06,True,5,4,4,4,5,1,4.4,4.666666666666667
ITEM_471,mimo_A_C21,Geoscience,岩石循环,A,26,True,R01_07,True,5,4,4,3,4,1,4.0,4.333333333333333
ITEM_082,千问_C_C22,Geoscience,地震成因,C,40,True,R01_07,True,4,5,4,5,4,1,4.4,4.333333333333333
