reference,section,value,n,api_quality_mean,api_quality_sd,api_quality_min,api_quality_max,professional_quality_mean,professional_quality_sd,professional_quality_min,professional_quality_max
all50,overall,all,180,2.914691358024691,1.3881592897101547,1.0,4.688888888888889,4.0087777777777776,0.46717581961268956,1.6800000000000002,4.9799999999999995
all50,task,A,60,4.131481481481481,0.34958000488366897,2.844444444444445,4.688888888888889,3.9896666666666665,0.40676469134414034,2.54,4.9799999999999995
all50,task,B,60,3.564814814814815,0.4919998888542851,2.3777777777777778,4.4,3.903666666666667,0.4858609924194391,2.7199999999999998,4.96
all50,task,C,60,1.0477777777777777,0.045528217418356796,1.0,1.1555555555555557,4.133,0.48305279214595165,1.6800000000000002,4.8
all50,domain,Biology,36,2.9672839506172837,1.4150761552585307,1.0,4.5777777777777775,3.712777777777777,0.21541469788176493,2.96,4.14
all50,domain,Chemistry,36,3.001234567901234,1.442630797355967,1.0,4.688888888888888,3.9100000000000006,0.11125260831613279,3.72,4.2
all50,domain,Climate/Environment,36,2.8333333333333335,1.3844538714041197,1.0,4.688888888888889,4.36,0.09282856703161396,4.12,4.54
all50,domain,Geoscience,36,2.791975308641976,1.3426253234470433,1.0,4.377777777777777,4.168333333333334,0.4791748860578686,2.96,4.96
all50,domain,Physics,36,2.97962962962963,1.4195050929794895,1.0,4.666666666666667,3.8927777777777774,0.7430616629329189,1.6800000000000002,4.9799999999999995
primary48,overall,all,180,2.914691358024691,1.3881592897101547,1.0,4.688888888888889,4.002888888888889,0.4770328319737347,1.6800000000000002,5.0
primary48,task,A,60,4.131481481481481,0.34958000488366897,2.844444444444445,4.688888888888889,3.976,0.41600175195198225,2.54,4.9799999999999995
primary48,task,B,60,3.564814814814815,0.4919998888542851,2.3777777777777778,4.4,3.8971666666666676,0.50501163492778,2.7199999999999998,5.0
primary48,task,C,60,1.0477777777777777,0.045528217418356796,1.0,1.1555555555555557,4.1355,0.4819906638099952,1.6800000000000002,4.8
primary48,domain,Biology,36,2.9672839506172837,1.4150761552585307,1.0,4.5777777777777775,3.712777777777777,0.21541469788176493,2.96,4.14
primary48,domain,Chemistry,36,3.001234567901234,1.442630797355967,1.0,4.688888888888888,3.9100000000000006,0.11125260831613279,3.72,4.2
primary48,domain,Climate/Environment,36,2.8333333333333335,1.3844538714041197,1.0,4.688888888888889,4.36,0.09282856703161396,4.12,4.54
primary48,domain,Geoscience,36,2.791975308641976,1.3426253234470433,1.0,4.377777777777777,4.138888888888889,0.5349380619835628,2.725,5.0
primary48,domain,Physics,36,2.97962962962963,1.4195050929794895,1.0,4.666666666666667,3.8927777777777774,0.7430616629329189,1.6800000000000002,4.9799999999999995
