scope,domain,metric,n_raters,split_scheme,n_splits,mean_split_half_spearman,median_split_half_spearman,ci_low_split_half_spearman,ci_high_split_half_spearman,mean_spearman_brown,median_spearman_brown
domain,Biology,quality,10,5/5,500,0.30218912892287625,0.31504346180235576,0.03119808666208912,0.49868447448269543,0.4473618921564663,0.47913728219107077
domain,Biology,risk,10,5/5,500,0.3582995130707952,0.3541380336829547,0.19212258578727137,0.5500715078243121,0.5202945458544704,0.523045692638698
domain,Chemistry,quality,10,5/5,500,0.07921775007943625,0.07155082954610648,-0.17638850040920218,0.4234136022452747,0.11782915592285909,0.13354612744792227
domain,Chemistry,risk,10,5/5,500,-0.2384654749017829,-0.22661210933107895,-0.49509715490393824,-0.033935470418383365,-0.7089768496918119,-0.5860244765059385
domain,Climate/Environment,quality,10,5/5,500,-0.1172893228544447,-0.13059817519346917,-0.3375386590955322,0.09013297214357899,-0.30036680274153615,-0.30043225499712056
domain,Climate/Environment,risk,10,5/5,500,-0.10182850815979988,-0.09952933530909457,-0.3100256068108201,0.17049958151103736,-0.2695038961229312,-0.221060694616318
domain,Geoscience,quality,8,4/4,500,0.9023561539949895,0.9044903250211567,0.8611870053656407,0.9464493554470692,0.9485292148093436,0.949850268687003
domain,Geoscience,risk,8,4/4,500,0.7109659344944463,0.7230144729282173,0.6145991050046993,0.8268622503759506,0.8301344308624088,0.8392436445405748
domain,Physics,quality,10,5/5,500,0.9435393120142954,0.9421863161949539,0.9167923831696786,0.9704713370318481,0.9708865492558579,0.970232678769462
domain,Physics,risk,10,5/5,500,0.5761451994650455,0.5325520131877783,0.4586426198545815,0.7282246860314184,0.7268798010025457,0.694987196003933
overall_stratified_by_domain,all,quality,48,within-domain half split,500,0.7947900329060762,0.8039442175685245,0.6840693594113791,0.858589091970468,0.8849048221859873,0.8913182677236241
overall_stratified_by_domain,all,risk,48,within-domain half split,500,0.5558527185469727,0.5578269252079381,0.4364484388694265,0.6618658716540969,0.7127073382975283,0.7161603309860642
